title,author,rating,reviews_count,isbn10,price,company
The 7 Habits Of Highly Effective People,Covey Stephen R.,4.4,2290,1471131823,373.0,Flipkart
The Story of My Experiments with Truth,Gandhi M. K.,4.5,239,8172343116,166.0,Flipkart
Turning Points : A Journey Through Challanges,Abdul Kalam A. P. J.,4.5,4059,9350293471,150.0,Flipkart
The Autobiography Of Benjamin Franklin,Smith E. Boyd,4.5,90,8175993286,140.0,Flipkart
Grinding It Out - The Making of McDonald's,Kroc Ray,4.5,26,1250127505,280.0,Flipkart
My Journey - Transforming Dreams into Actions,A P J Abdul Kalam,4.6,3580,8129124912,112.0,Flipkart
WITHOUT FEAR - PB,Kuldip Nayar,4.6,557,9350292203,186.0,Flipkart
Century Is Not Enough,Ganguly Sourav,4.7,2653,9386228564,434.0,Flipkart
NARENDRA MODI,Andy Marino,4.5,194,9351770257,283.0,Flipkart
Albert Einstein,Calaprice Alice,4.5,157,8184953542,245.0,Flipkart
Touch The Sky - The Inspiring Stories of Women From Across India Who are Writing their Own Destiny,Bansal Rashmi,4.3,104,9386850702,125.0,Flipkart
Devil's Advocate,Karan Thapar,4.6,108,9352779843,417.0,Flipkart
Jerusalem: The Biography,Simon Sebag Montefiore,4.4,66,1780220251,352.0,Flipkart
My Journey,Kalam A. P. J. Abdul,4.3,176,8183224202,100.0,Flipkart
Lone Fox Dancing - My Autobiography,Bond Ruskin,4.7,135,9386338904,450.0,Flipkart
Ronaldo 2018 Updated Edition,Luca Caioli,4.3,26,1785782312,200.0,Flipkart
THE COALITION YEARS,Pranab Mukherjee,4.6,207,8129149052,331.0,Flipkart
UNBREAKABLE,M.C. Mary Kom,4.5,553,9351160092,145.0,Flipkart
Pride & Prejudice,Austen Jane,4.4,629,8172344503,182.0,Flipkart
Rekha,Usman Yasser,4.3,127,8193284186,239.0,Flipkart
How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,Aditi Singhal' and  ' Sudhir Singhal,4.3,598,8184005210,255.0,Flipkart
Pathways to Greatness,A P J Abdul Kalam,4.6,483,9352643836,156.0,Flipkart
Inspiring Thoughts,Vivekanand Swami,4.1,499,8170289262,107.0,Flipkart
Meri Jeevan Yatra,Kalam A. P. J. Abdul,4.4,305,9350487977,143.0,Flipkart
Auto.Of A Yogi (Telugu),Yogananda,4.5,59,8189955357,171.0,Flipkart
The Ivory Throne,Manu S. Pillai,4.6,371,9351776425,468.0,Flipkart
Shirdi Sai Baba: - Reflections for World Peace and Happy Living,Agarwal Satish C.,4.4,13,8175994711,190.0,Flipkart
I TAGGED HER IN MY HEART,Tiwari Anuj,4.5,452,8129149567,109.0,Flipkart
Sanjay Dutt :,Usman Yasser,4.5,122,9386228580,264.0,Flipkart
A Thousand Splendid Suns,Khaled Hosseini,4.5,2540,1408844443,309.0,Flipkart
Don't Kill Him! - The story of my life with Bhagwan Rajneesh,Sheela Ma Anand,3.6,46,8172344449,188.0,Flipkart
Turning Points,Abdul Kalam A. P. J.,4.4,235,9350641003,185.0,Flipkart
Lauhpurush Sardar Vallabhbhai Patel,Kapoor Sushil,4.0,4,9350484080,125.0,Flipkart
Bal Thackeray & the Rise of the Shiv Sena,Vaibhav Purandare,4.2,62,8174369589,280.0,Flipkart
Indira - India's Most Powerful Prime Minister,Sagarika Ghose,4.5,149,9386228343,359.0,Flipkart
Tom Gates,Pichon L.,4.5,238,9351033007,176.0,Flipkart
VERONIKA DECIDES TO DIE,Paulo Coelho,4.4,1393,8172235437,209.0,Flipkart
Miracles of Your Mind,Murphy Joseph,4.3,1399,8183225101,117.0,Flipkart
The Leader Who had no title,Robin Sharma,4.4,1344,8184951191,160.0,Flipkart
Everything's Amazing (Sort of),Gates Tom,4.6,166,9351033015,221.0,Flipkart
The Definitive Book of Body Language,Barbara Pease' and  ' Allan,4.4,643,8183220142,299.0,Flipkart
The Magic,Byrne Rhonda,4.4,2498,1849838399,255.0,Flipkart
Accounting & Finance for Bankers,unknown,4.5,693,9350598485,330.0,Flipkart
Eclipse,Stephenie Meyer,4.5,558,1904233910,309.0,Flipkart
The Philosophy Book,DK,4.8,42,1405353295,788.0,Flipkart
The Great Book of Puzzles and Teasers,Summers George J.,4.2,552,8172242212,149.0,Flipkart
My Baby Record Book,Dreamland Publications,4.2,48,9350896540,175.0,Flipkart
Prep Guide to Bitsat 2019,unknown,4.6,84,9313163802,490.0,Flipkart
Rich Dads Business School For People Who Like Helping People,Robert T. Kiyosaki,4.5,1281,8186775811,154.0,Flipkart
Before you start up - How to Prepare to Make Your Startup Dream A Reality,Goyal Pankaj,4.3,29,8175994401,188.0,Flipkart
Questions are the Answers,Pease Allan,4.4,1891,8186775056,76.0,Flipkart
Corporate Chanakya,Radhakrishnan Pillai,4.3,700,8184951337,189.0,Flipkart
IIMA,Deodhar Satish Y,4.4,1706,8184001630,173.0,Flipkart
I Do What I Do,Rajan Raghuram G.,4.6,2416,9352770145,436.0,Flipkart
Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,Hill Napoleon,4.5,413,8183223656,148.0,Flipkart
The Business of the 21st Century,Robert T. Kiyosaki,4.2,102,8183223362,149.0,Flipkart
Dhandho Investor the Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,181,8126564636,268.0,Flipkart
Entrepreneur 5 P.M. to 9 a.M.,Miriyala Kanth,4.1,320,8129123932,118.0,Flipkart
The Business School,Kiyosaki Robert T.,4.4,149,8183221645,149.0,Flipkart
The Business School,K. Subramanian' and  ' Robert T. Kiyosaki,4.3,125,8183222366,220.0,Flipkart
Copycat Marketing 101,Hedges Burke,4.3,548,8182744466,125.0,Flipkart
Ekvisavya Shatkacha Vyavsay,Robert T. Kiyosaki' and  ' Abhijit Thite,4.3,82,8183223664,149.0,Flipkart
BUSINESS SUTRA: A VERY INDIAN APPROACH TO MANAGEMENT,Devdutt Pattanaik,4.5,294,9384067547,360.0,Flipkart
The $100 Startup,Guillebeau Chris,4.4,198,1447286316,298.0,Flipkart
THE BUSINESS OF THE 21st CENTURY,ROBERT T. KIYOSAKI,4.3,73,8183223273,185.0,Flipkart
